song_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
47165S9Ppynsd9rIzVG4uS,0.585,0.744,2,-4.751,1,0.0419,0.228,0,0.195,0.349,104.919,audio_features,47165S9Ppynsd9rIzVG4uS,spotify:track:47165S9Ppynsd9rIzVG4uS,https://api.spotify.com/v1/tracks/47165S9Ppynsd9rIzVG4uS,https://api.spotify.com/v1/audio-analysis/47165S9Ppynsd9rIzVG4uS,231383,4
0WVAQaxrT0wsGEG4BCVSn2,0.688,0.688,3,-5.84,1,0.0357,0.3,0,0.0982,0.451,114.011,audio_features,0WVAQaxrT0wsGEG4BCVSn2,spotify:track:0WVAQaxrT0wsGEG4BCVSn2,https://api.spotify.com/v1/tracks/0WVAQaxrT0wsGEG4BCVSn2,https://api.spotify.com/v1/audio-analysis/0WVAQaxrT0wsGEG4BCVSn2,193321,4
6D8WgDaIuyirn6egGauzVK,0.745,0.664,1,-4.28,1,0.0613,0.498,8.15E-06,0.0777,0.468,108.067,audio_features,6D8WgDaIuyirn6egGauzVK,spotify:track:6D8WgDaIuyirn6egGauzVK,https://api.spotify.com/v1/tracks/6D8WgDaIuyirn6egGauzVK,https://api.spotify.com/v1/audio-analysis/6D8WgDaIuyirn6egGauzVK,178233,4
5iJHDCtqv2nO4v8i8nwbdh,0.78,0.581,9,-6.832,1,0.0287,0.00835,0.00224,0.177,0.567,119.984,audio_features,5iJHDCtqv2nO4v8i8nwbdh,spotify:track:5iJHDCtqv2nO4v8i8nwbdh,https://api.spotify.com/v1/tracks/5iJHDCtqv2nO4v8i8nwbdh,https://api.spotify.com/v1/audio-analysis/5iJHDCtqv2nO4v8i8nwbdh,171370,4
5xHgVbkCAq529zWCazsXxC,0.732,0.57,5,-5.588,1,0.034,0.052,1.73E-06,0.0733,0.442,123.963,audio_features,5xHgVbkCAq529zWCazsXxC,spotify:track:5xHgVbkCAq529zWCazsXxC,https://api.spotify.com/v1/tracks/5xHgVbkCAq529zWCazsXxC,https://api.spotify.com/v1/audio-analysis/5xHgVbkCAq529zWCazsXxC,206019,4
5UfdaSCFLW9TvAyViK7LQV,0.496,0.636,0,-6.591,1,0.0499,0.104,0,0.0619,0.159,94.969,audio_features,5UfdaSCFLW9TvAyViK7LQV,spotify:track:5UfdaSCFLW9TvAyViK7LQV,https://api.spotify.com/v1/tracks/5UfdaSCFLW9TvAyViK7LQV,https://api.spotify.com/v1/audio-analysis/5UfdaSCFLW9TvAyViK7LQV,224842,4
5lzHDkFLN01bKatvKQC0lO,0.625,0.576,8,-5.812,1,0.036,0.217,2.85E-06,0.0897,0.297,121.915,audio_features,5lzHDkFLN01bKatvKQC0lO,spotify:track:5lzHDkFLN01bKatvKQC0lO,https://api.spotify.com/v1/tracks/5lzHDkFLN01bKatvKQC0lO,https://api.spotify.com/v1/audio-analysis/5lzHDkFLN01bKatvKQC0lO,218306,4
3p4jH0PZG21xXwzRS7HpNb,0.709,0.931,0,-2.787,1,0.111,0.278,0,0.175,0.253,124.105,audio_features,3p4jH0PZG21xXwzRS7HpNb,spotify:track:3p4jH0PZG21xXwzRS7HpNb,https://api.spotify.com/v1/tracks/3p4jH0PZG21xXwzRS7HpNb,https://api.spotify.com/v1/audio-analysis/3p4jH0PZG21xXwzRS7HpNb,159000,4
27YD36FUikKxbp3bKSiKGZ,0.422,0.677,11,-5.76,1,0.0365,0.251,3.55E-06,0.16,0.146,150.131,audio_features,27YD36FUikKxbp3bKSiKGZ,spotify:track:27YD36FUikKxbp3bKSiKGZ,https://api.spotify.com/v1/tracks/27YD36FUikKxbp3bKSiKGZ,https://api.spotify.com/v1/audio-analysis/27YD36FUikKxbp3bKSiKGZ,297782,4
3KGbQLrg2Lj0JH2W81LhO4,0.542,0.875,1,-3.068,1,0.0321,0.0795,1.07E-05,0.061,0.244,154.945,audio_features,3KGbQLrg2Lj0JH2W81LhO4,spotify:track:3KGbQLrg2Lj0JH2W81LhO4,https://api.spotify.com/v1/tracks/3KGbQLrg2Lj0JH2W81LhO4,https://api.spotify.com/v1/audio-analysis/3KGbQLrg2Lj0JH2W81LhO4,167663,4
6c14PL4z50pRfwHxtNktK8,0.439,0.603,0,-6.213,1,0.083,0.524,0.0128,0.112,0.363,200.083,audio_features,6c14PL4z50pRfwHxtNktK8,spotify:track:6c14PL4z50pRfwHxtNktK8,https://api.spotify.com/v1/tracks/6c14PL4z50pRfwHxtNktK8,https://api.spotify.com/v1/audio-analysis/6c14PL4z50pRfwHxtNktK8,200514,4
3QC3zy7WN5VYdIsYXaU6Jb,0.564,0.707,8,-5.286,1,0.0982,0.028,4.33E-06,0.358,0.373,87.481,audio_features,3QC3zy7WN5VYdIsYXaU6Jb,spotify:track:3QC3zy7WN5VYdIsYXaU6Jb,https://api.spotify.com/v1/tracks/3QC3zy7WN5VYdIsYXaU6Jb,https://api.spotify.com/v1/audio-analysis/3QC3zy7WN5VYdIsYXaU6Jb,233176,4
